Name,Code,Factoid ID,Location,Pleiades,Geonames,Source,Source loc,Description in PBW,Releven formula,RELEVEN location type,Date,Dating authority,Outside source,Notes
Basileios,114,225234,Constantinople: Blachernai,,,Synod of 1094,218,Constantinople: Blachernai: was papias of the  Blachernai,"Basileios 114: Constantinople, Blachernai: Specifies presence (dignity)",Dignity,,,,
Euthymios,103,225235,Constantinople: Blachernai,,,Synod of 1094,218,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Euthymios 103: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Michael,126,225236,Constantinople: Blachernai,,,Synod of 1094,218,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Michael 126: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Michael,127,225237,Constantinople: Blachernai,,,Synod of 1094,218,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Michael 127: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Michael,128,225238,Constantinople: Blachernai,,,Synod of 1094,218,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Michael 128: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Michael,129,225239,Constantinople: Blachernai,,,Synod of 1094,218,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Michael 129: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Konstantinos,125,225240,Constantinople: Blachernai,,,Synod of 1094,218,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Konstantinos 125: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Konstantinos,126,225241,Constantinople: Blachernai,,,Synod of 1094,218,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Konstantinos 126: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Konstantinos,127,225242,Constantinople: Blachernai,,,Synod of 1094,218,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Konstantinos 127: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Tatikios,61,225243,Constantinople: Blachernai,,,Synod of 1094,218,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Tatikios 61: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Katakalon,61,225244,Constantinople: Blachernai,,,Synod of 1094,218,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Katakalon 61: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Theodoros,109,225245,Constantinople: Blachernai,,,Synod of 1094,218,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Theodoros 109: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Theodoros,110,225246,Constantinople: Blachernai,,,Synod of 1094,218,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Theodoros 110: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Georgios,110,225247,Constantinople: Blachernai,,,Synod of 1094,218,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Georgios 110: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Georgios,111,225248,Constantinople: Blachernai,,,Synod of 1094,218,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Georgios 111: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Georgios,112,225249,Constantinople: Blachernai,,,Synod of 1094,218,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Georgios 112: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Niketas,108,225250,Constantinople: Blachernai,,,Synod of 1094,218,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Niketas 108: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Basileios,113,225251,Constantinople: Blachernai,,,Synod of 1094,218,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Basileios 113: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Basileios,114,225252,Constantinople: Blachernai,,,Synod of 1094,218,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Basileios 114: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Gregorios,103,225253,Constantinople: Blachernai,,,Synod of 1094,218,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Gregorios 103: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Eustathios,102,225254,Constantinople: Blachernai,,,Synod of 1094,218,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Eustathios 102: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Leon,115,225255,Constantinople: Blachernai,,,Synod of 1094,218,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Leon 115: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Ioannes,120,225256,Constantinople: Blachernai,,,Synod of 1094,218,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Ioannes 120: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Ioannes,121,225257,Constantinople: Blachernai,,,Synod of 1094,218,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Ioannes 121: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Kosmas,102,225271,Constantinople: Blachernai,,,Synod of 1094,218,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Kosmas 102: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Konstantinos,128,225272,Constantinople: Blachernai,,,Synod of 1094,218,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Konstantinos 128: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Konstantinos,129,225273,Constantinople: Blachernai,,,Synod of 1094,218,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Konstantinos 129: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Ioannes,102,225274,Constantinople: Blachernai,,,Synod of 1094,218,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Ioannes 102: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Nikephoros,112,225275,Constantinople: Blachernai,,,Synod of 1094,218,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Nikephoros 112: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Theodoulos,103,225276,Constantinople: Blachernai,,,Synod of 1094,218,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Theodoulos 103: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Ioannes,122,225277,Constantinople: Blachernai,,,Synod of 1094,218,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Ioannes 122: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Gregorios,104,225278,Constantinople: Blachernai,,,Synod of 1094,218,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Gregorios 104: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Michael,130,225279,Constantinople: Blachernai,,,Synod of 1094,218,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Michael 130: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Eustathios,103,225280,Constantinople: Blachernai,,,Synod of 1094,218,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Eustathios 103: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Niketas,109,225281,Constantinople: Blachernai,,,Synod of 1094,218,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Niketas 109: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Niketas,110,225282,Constantinople: Blachernai,,,Synod of 1094,218,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Niketas 110: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Sergios,101,225283,Constantinople: Blachernai,,,Synod of 1094,218,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Sergios 101: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Petros,104,225284,Constantinople: Blachernai,,,Synod of 1094,219,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Petros 104: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Basileios,115,225285,Constantinople: Blachernai,,,Synod of 1094,219,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Basileios 115: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Basileios,116,225286,Constantinople: Blachernai,,,Synod of 1094,219,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Basileios 116: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Niketas,111,225287,Constantinople: Blachernai,,,Synod of 1094,219,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Niketas 111: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Michael,131,225288,Constantinople: Blachernai,,,Synod of 1094,219,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Michael 131: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Michael,132,225289,Constantinople: Blachernai,,,Synod of 1094,219,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Michael 132: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Nikolaos,105,225290,Constantinople: Blachernai,,,Synod of 1094,219,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Nikolaos 105: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Anonymus,208,225291,Constantinople: Blachernai,,,Synod of 1094,219,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Anonymus 208: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Anonymi,123,225292,Constantinople: Blachernai,,,Synod of 1094,219,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Anonymus 123: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Anonymi,124,225293,Constantinople: Blachernai,,,Synod of 1094,219,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Anonymus 124: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Leon,116,225294,Constantinople: Blachernai,,,Synod of 1094,219,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Leon 116: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Ioannes,123,225295,Constantinople: Blachernai,,,Synod of 1094,219,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Ioannes 123: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Theodoros,111,225296,Constantinople: Blachernai,,,Synod of 1094,219,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Theodoros 111: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Nikephoros,113,225308,Constantinople: Blachernai,,,Synod of 1094,219,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Nikephoros 113: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Nikephoros,114,225309,Constantinople: Blachernai,,,Synod of 1094,219,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Nikephoros 114: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Petros,105,225310,Constantinople: Blachernai,,,Synod of 1094,219,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Petros 105: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Niketas,112,225311,Constantinople: Blachernai,,,Synod of 1094,219,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Niketas 112: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Niketas,113,225312,Constantinople: Blachernai,,,Synod of 1094,219,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Niketas 113: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Niketas,114,225313,Constantinople: Blachernai,,,Synod of 1094,219,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Niketas 114: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Basileios,117,225314,Constantinople: Blachernai,,,Synod of 1094,219,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Basileios 117: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Eustathios,104,225315,Constantinople: Blachernai,,,Synod of 1094,219,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Eustathios 104: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Ioannes,124,225316,Constantinople: Blachernai,,,Synod of 1094,219,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Ioannes 124: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Euphemianos,101,225317,Constantinople: Blachernai,,,Synod of 1094,219,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Euphemianos 101: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Theophanes,102,225318,Constantinople: Blachernai,,,Synod of 1094,219,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Theophanes 102: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Leon,117,225319,Constantinople: Blachernai,,,Synod of 1094,219,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Leon 117: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Ioannes,125,225320,Constantinople: Blachernai,,,Synod of 1094,219,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Ioannes 125: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Athanasios,101,225321,Constantinople: Blachernai,,,Synod of 1094,219,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Athanasios 101: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Ioannes,126,225322,Constantinople: Blachernai,,,Synod of 1094,219,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Ioannes 126: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Georgios,113,225323,Constantinople: Blachernai,,,Synod of 1094,219,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Georgios 113: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Alexios,1,225208,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: presided over the council he convened in the newly built great triklinos of  Blachernai,"Alexios 1: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Adrianos,102,225209,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Adrianos 102: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Ioannes,65,225210,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Ioannes 65: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Michael,121,225211,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Michael 121: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Georgios,61,225212,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Georgios 61: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Leon,114,225213,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: was summoned to a council convened in the newly built great triklinos of  Blachernai,"Leon 114: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Ioannes,117,225214,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Ioannes 117: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Michael,122,225215,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Michael 122: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Konstantinos,121,225216,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Konstantinos 121: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Marinos,101,225217,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Marinos 101: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Konstantinos,122,225218,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Konstantinos 122: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Manuel,104,225219,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Manuel 104: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Michael,123,225220,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Michael 123: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Andronikos,102,225221,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Andronikos 102: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Isaakios,101,225222,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Isaakios 101: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Stephanos,105,225223,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Stephanos 105: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Georgios,109,225224,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Georgios 109: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Bardas,105,225225,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Bardas 105: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Michael,124,225226,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Michael 124: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Ioannes,118,225227,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Ioannes 118: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Michael,125,225228,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Michael 125: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Konstantinos,123,225229,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Konstantinos 123: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Nikolaos,104,225230,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Nikolaos 104: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Romanos,105,225231,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Romanos 105: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Ioannes,119,225232,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Ioannes 119: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Konstantinos,124,225233,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Konstantinos 124: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Ioannes,127,225328,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Ioannes 127: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Anonymus,209,225329,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Anonymus 209: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Anonymus,210,225330,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Anonymus 210: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Anonymus,211,225331,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Anonymus 211: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Anonymus,212,225332,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Anonymus 212: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Anonymus,213,225333,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Anonymus 213: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Anonymus,214,225334,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Anonymus 214: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Symeon,103,225335,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Symeon 103: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Kyrillos,101,225336,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Kyrillos 101: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Ioannikios,101,225337,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Ioannikios 101: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Loukas,101,225338,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Loukas 101: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Anonymi,125,225339,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: took part in a council convened in the newly built great triklinos of  Blachernai,"Anonymous 125: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Isaakios,61,225351,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: presided over the council convened in the newly built great triklinos of  Blachernai,"Isaakios 61: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Nikolaos,13,225352,Constantinople,https://pleiades.stoa.org/places/520998,,Synod of 1094,220,Constantinople: presided over the council convened in the newly built great triklinos of  Blachernai,"Nikolaos 13: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Symeon,104,225353,Constantinople: Blachernai,,,Synod of 1094,220,Constantinople: Blachernai: presided over the council convened in the newly built great triklinos of  Blachernai,"Symeon 104: Constantinople, great triklinos of Blachernai: Specifies presence",Specifies presence,J 1094,Synod of 1094,,
Nikolaos,13,225354,Constantinople,https://pleiades.stoa.org/places/520998,,Synod of 1094,220,Constantinople: was patriarch of Constantinople,Nikolaos 13: Constantinople: Specifies presence (dignity),Dignity,J 1094,Synod of 1094,,
Marinos,101,443560,Naples (Italy),,,Synod of 1094,220,Naples (Italy): came from Naples,Marinos 101: Naples: Specifies presence ,Specifies presence,J 1094,Synod of 1094,,
Theophylaktos,105,232947,Constantinople,https://pleiades.stoa.org/places/520998,,Synod of 1094,137.4-5,Constantinople: travelled from Ohrid and stayed in Constantinople,Theophylaktos 105: Constantinople: Specifies presence,Specifies presence,J 1094,Synod of 1094,,
