Name,Code,Factoid ID,Location,Pleiades,Geonames,Source,Source loc,Description in PBW,Releven formula,RELEVEN location type,Date,Dating authority,Outside source,Notes
Konstantinos,20186,417584,Tiberioupolis,https://pleiades.stoa.org/places/491742,,Seals,,Tiberioupolis: was metropolitan of Tiberioupolis,Dignity,Dignity,,,,
Michael,20213,417666,Constantinople,https://pleiades.stoa.org/places/520998,,Seals,,Constantinople: Blachernai: was papias of  Blachernai,Dignity,Dignity,,,,
Niketas,20150,417689,Constantinople,https://pleiades.stoa.org/places/520998,,Seals,,Constantinople: was praitor of Constantinople,Dignity,Dignity,,,,
Thomas,20108,417986,Andida,https://pleiades.stoa.org/places/40039,,Seals,,Andida: was bishop of Andida,Dignity,Dignity,,,,
Georgios,185,418239,Antioch (Pisidia),https://pleiades.stoa.org/places/609307,,Seals,,Antioch: was metropolitan of Antioch (Pisidia),Dignity,Dignity,,,,
Theodoros,20225,418259,Constantinople,https://pleiades.stoa.org/places/520998,,Seals,,Constantinople: was praitor of Constantinople,Dignity,Dignity,,,,
Niketas,20206,418260,Constantinople,https://pleiades.stoa.org/places/520998,,Seals,,Constantinople: was praitor of Constantinople,Dignity,Dignity,,,,
Leon,20257,418261,Constantinople,https://pleiades.stoa.org/places/520998,,Seals,,Constantinople: was praitor of Constantinople,Dignity,Dignity,,,,
Gregorios,20145,418504,Taron (Armenia),,,Seals,,Taron: was doux of Taron,Dignity,Dignity,,,,
Elinagos,20101,418505,Taron (Armenia),,,Seals,,Taron: was katepano of Taron,Dignity,Dignity,,,,
Euphemios,20101,418506,Taron (Armenia),,,Seals,,Taron: was kleisourarches of Taron,Dignity,Dignity,,,,
Pankratios,20103,418507,Taron (Armenia),,,Seals,,Taron: was strategos of Taron,Dignity,Dignity,,,,
Kosmas,11,418900,Constantinople,https://pleiades.stoa.org/places/520998,,Seals,,Constantinople: was patriarch of Constantinople,Dignity,Dignity,,,,
Veken,20102,418981,"Baniyas (Valania, near Laodikeia)",https://pleiades.stoa.org/places/668206,,Seals,,"Baniyas (Valania, near Laodikeia): was strategos of Baniyas (Valania, near Laodikeia)",Dignity,Dignity,,,,
Stephanos,20221,419016,Constantinople,https://pleiades.stoa.org/places/520998,,Seals,,Constantinople: was praitor of Constantinople,Dignity,Dignity,,,,
Anonymus,20328,419017,Constantinople,https://pleiades.stoa.org/places/520998,,Seals,,Constantinople: was praitor of Constantinople,Dignity,Dignity,,,,
Anonymus,20359,419154,Taron (Armenia),,,Seals,,Taron: was kourator of Taron,Dignity,Dignity,,,,
Leon,20402,419263,Constantinople,https://pleiades.stoa.org/places/520998,,Seals,,Constantinople: was protopapas of Constantinople,Dignity,Dignity,,,,
